Date,Home Team,Away Team,Competition,Matchweek
2026-05-24T15:00:00Z,Sunderland AFC,Chelsea FC,Premier League,38
2026-05-24T15:00:00Z,Brighton & Hove Albion FC,Manchester United FC,Premier League,38
2026-05-24T15:00:00Z,Crystal Palace FC,Arsenal FC,Premier League,38
2026-05-24T15:00:00Z,Burnley FC,Wolverhampton Wanderers FC,Premier League,38
2026-05-24T15:00:00Z,Fulham FC,Newcastle United FC,Premier League,38
2026-05-24T15:00:00Z,Liverpool FC,Brentford FC,Premier League,38
2026-05-24T15:00:00Z,Manchester City FC,Aston Villa FC,Premier League,38
2026-05-24T15:00:00Z,Nottingham Forest FC,AFC Bournemouth,Premier League,38
2026-05-24T15:00:00Z,Tottenham Hotspur FC,Everton FC,Premier League,38
2026-05-24T15:00:00Z,West Ham United FC,Leeds United FC,Premier League,38
2026-05-24T13:00:00Z,Parma Calcio 1913,US Sassuolo Calcio,Serie A,38
2026-05-24T16:00:00Z,SSC Napoli,Udinese Calcio,Serie A,38
2026-05-24T18:45:00Z,AC Milan,Cagliari Calcio,Serie A,38
2026-05-24T18:45:00Z,Torino FC,Juventus FC,Serie A,38
2026-05-24T18:45:00Z,Hellas Verona FC,AS Roma,Serie A,38
2026-05-24T18:45:00Z,US Cremonese,Como 1907,Serie A,38
2026-05-24T18:45:00Z,US Lecce,Genoa CFC,Serie A,38
2026-05-24T19:00:00Z,Villarreal CF,Club Atlético de Madrid,La Liga,38
