Date,Time,Matchweek,League,Home_Team,Away_Team,Predicted_Result,Prob_Home_Win,Prob_Draw,Prob_Away_Win
2026-02-18,20:00,31,Premier League,Wolves,Arsenal,Away Win,0.22959857,0.23210062,0.5383008
2026-02-21,15:00,27,Premier League,Aston Villa,Leeds,Home Win,0.57574004,0.2267314,0.19752859
2026-02-21,15:00,27,Premier League,Brentford,Brighton,Home Win,0.56436414,0.22979257,0.20584328
2026-02-21,15:00,27,Premier League,Chelsea,Burnley,Home Win,0.68142617,0.1919837,0.12659015
2026-02-21,17:30,27,Premier League,West Ham,Bournemouth,Away Win,0.3143243,0.24829777,0.43737793
2026-02-21,20:00,27,Premier League,Manchester City,Newcastle,Home Win,0.6437226,0.20568442,0.15059297
2026-02-22,14:00,27,Premier League,Sunderland,Fulham,Away Win,0.36058208,0.2515461,0.3878718
2026-02-22,14:00,27,Premier League,Crystal Palace,Wolves,Home Win,0.50905997,0.24153882,0.24940118
2026-02-22,14:00,27,Premier League,Nott'm Forest,Liverpool,Away Win,0.31073046,0.24799336,0.4412762
2026-02-22,16:30,27,Premier League,Tottenham,Arsenal,Away Win,0.22899544,0.23200507,0.53899944
2026-02-23,20:00,27,Premier League,Everton,Manchester Utd,Away Win,0.26834354,0.24146515,0.4901913
2026-02-27,20:00,28,Premier League,Wolves,Aston Villa,Away Win,0.24862075,0.23718688,0.51419234
2026-02-28,12:30,28,Premier League,Bournemouth,Sunderland,Home Win,0.45366985,0.24799226,0.2983379
2026-02-28,15:00,28,Premier League,Burnley,Brentford,Away Win,0.24172923,0.2357943,0.5224765
2026-02-28,15:00,28,Premier League,Liverpool,West Ham,Home Win,0.5490053,0.23355964,0.21743508
2026-02-28,15:00,28,Premier League,Newcastle,Everton,Away Win,0.3050151,0.24719895,0.44778597
2026-02-28,17:30,28,Premier League,Leeds,Manchester City,Away Win,0.2272956,0.23154035,0.54116404
2026-03-01,14:00,28,Premier League,Brighton,Nott'm Forest,Home Win,0.43836814,0.24994281,0.31168905
2026-03-01,14:00,28,Premier League,Fulham,Tottenham,Home Win,0.5302968,0.23771328,0.23198992
2026-03-01,14:00,28,Premier League,Manchester Utd,Crystal Palace,Home Win,0.6415818,0.20641805,0.15200025
2026-03-01,16:30,28,Premier League,Arsenal,Chelsea,Home Win,0.5576551,0.23155445,0.21079049
2026-03-03,19:30,29,Premier League,Bournemouth,Brentford,Away Win,0.29458183,0.2452074,0.46021083
2026-03-03,19:30,29,Premier League,Everton,Burnley,Home Win,0.629529,0.21046801,0.16000304
2026-03-03,19:30,29,Premier League,Leeds,Sunderland,Home Win,0.42899463,0.24980022,0.32120508
2026-03-03,20:15,29,Premier League,Wolves,Liverpool,Away Win,0.28277782,0.2440758,0.47314638
2026-03-04,19:30,29,Premier League,Aston Villa,Chelsea,Home Win,0.4308504,0.2498611,0.3192885
2026-03-04,19:30,29,Premier League,Brighton,Arsenal,Away Win,0.23620881,0.23421808,0.52957314
2026-03-04,19:30,29,Premier League,Fulham,West Ham,Home Win,0.50405765,0.24232662,0.25361574
2026-03-04,19:30,29,Premier League,Manchester City,Nott'm Forest,Home Win,0.65596,0.20139939,0.14264056
2026-03-04,20:15,29,Premier League,Newcastle,Manchester Utd,Away Win,0.23544095,0.23381968,0.53073937
2026-03-05,20:00,29,Premier League,Tottenham,Crystal Palace,Away Win,0.34244537,0.25044873,0.4071059
2026-03-14,12:30,30,Premier League,West Ham,Manchester City,Away Win,0.23538242,0.23371533,0.53090227
2026-03-14,15:00,30,Premier League,Sunderland,Brighton,Home Win,0.39953232,0.25186718,0.34860054
2026-03-14,15:00,30,Premier League,Crystal Palace,Leeds,Away Win,0.35101637,0.25133136,0.39765224
2026-03-14,15:00,30,Premier League,Burnley,Bournemouth,Away Win,0.28773335,0.24479249,0.4674741
2026-03-14,15:00,30,Premier League,Nott'm Forest,Fulham,Away Win,0.33039185,0.24965096,0.41995716
2026-03-14,17:30,30,Premier League,Chelsea,Newcastle,Home Win,0.6009626,0.21946405,0.17957339
2026-03-15,14:00,30,Premier League,Arsenal,Everton,Home Win,0.61720794,0.21445021,0.16834185
2026-03-15,14:00,30,Premier League,Manchester Utd,Aston Villa,Home Win,0.49274597,0.2439559,0.26329812
2026-03-15,16:30,30,Premier League,Liverpool,Tottenham,Home Win,0.5723396,0.22766343,0.19999698
2026-03-16,20:00,30,Premier League,Brentford,Wolves,Home Win,0.64908886,0.20382395,0.14708713
2026-03-20,20:00,31,Premier League,Bournemouth,Manchester Utd,Away Win,0.24990153,0.2375516,0.5125469
2026-03-21,12:30,31,Premier League,Brighton,Liverpool,Away Win,0.3161546,0.2487093,0.43513614
2026-03-21,15:00,31,Premier League,Fulham,Burnley,Home Win,0.57688767,0.2264165,0.19669585
2026-03-21,17:30,31,Premier League,Everton,Chelsea,Away Win,0.31863627,0.24841134,0.43295243
2026-03-21,20:00,31,Premier League,Leeds,Brentford,Away Win,0.2573488,0.23887429,0.5037769
2026-03-22,12:00,31,Premier League,Newcastle,Sunderland,Home Win,0.40371278,0.25091863,0.34536865
2026-03-22,14:15,31,Premier League,Aston Villa,West Ham,Home Win,0.61584866,0.21487986,0.1692715
2026-03-22,14:15,31,Premier League,Tottenham,Nott'm Forest,Away Win,0.33529165,0.24994671,0.41476166
2026-04-11,14:00,32,Premier League,Sunderland,Tottenham,Home Win,0.48571703,0.24520187,0.2690811
2026-04-11,14:00,32,Premier League,Crystal Palace,Newcastle,Away Win,0.35589197,0.25116196,0.39294603
2026-04-11,14:00,32,Premier League,Arsenal,Bournemouth,Home Win,0.6449323,0.20527151,0.14979616
2026-04-11,14:00,32,Premier League,Brentford,Everton,Home Win,0.4766827,0.24600393,0.27731344
2026-04-11,14:00,32,Premier League,Burnley,Brighton,Away Win,0.2951359,0.24595985,0.45890424
2026-04-11,14:00,32,Premier League,Chelsea,Manchester City,Away Win,0.32800958,0.24930438,0.4226861
2026-04-11,14:00,32,Premier League,Liverpool,Fulham,Home Win,0.46009374,0.24742651,0.29247972
2026-04-11,14:00,32,Premier League,Manchester Utd,Leeds,Home Win,0.6184107,0.21406662,0.16752271
2026-04-11,14:00,32,Premier League,Nott'm Forest,Aston Villa,Away Win,0.2594433,0.23951663,0.50104004
2026-04-11,14:00,32,Premier League,West Ham,Wolves,Home Win,0.506653,0.24181266,0.25153437
2026-04-18,14:00,33,Premier League,Newcastle,Bournemouth,Away Win,0.3584253,0.25134966,0.39022505
2026-04-18,14:00,33,Premier League,Nott'm Forest,Burnley,Home Win,0.53883195,0.2359143,0.22525373
2026-04-18,14:00,33,Premier League,Tottenham,Brighton,Away Win,0.31404588,0.24797747,0.43797672
2026-04-18,14:00,33,Premier League,Aston Villa,Sunderland,Home Win,0.5733579,0.22738114,0.19926094
2026-04-18,14:00,33,Premier League,Crystal Palace,West Ham,Home Win,0.42487603,0.25082135,0.32430258
2026-04-18,14:00,33,Premier League,Brentford,Fulham,Home Win,0.54011154,0.23562425,0.22426416
2026-04-18,14:00,33,Premier League,Chelsea,Manchester Utd,Away Win,0.3636699,0.25122347,0.38510662
2026-04-18,14:00,33,Premier League,Everton,Liverpool,Home Win,0.43976513,0.24979447,0.31044045
2026-04-18,14:00,33,Premier League,Leeds,Wolves,Home Win,0.57127285,0.22795427,0.20077288
2026-04-18,14:00,33,Premier League,Manchester City,Arsenal,Home Win,0.38033977,0.2517208,0.3679394
2026-04-25,14:00,34,Premier League,Bournemouth,Leeds,Home Win,0.45801723,0.2482231,0.2937597
2026-04-25,14:00,34,Premier League,Sunderland,Nott'm Forest,Home Win,0.4320292,0.25049573,0.3174751
2026-04-25,14:00,34,Premier League,Brighton,Chelsea,Away Win,0.25107914,0.23821224,0.51070863
2026-04-25,14:00,34,Premier League,Arsenal,Newcastle,Home Win,0.6699257,0.19631869,0.13375562
2026-04-25,14:00,34,Premier League,Burnley,Manchester City,Away Win,0.23790851,0.23456506,0.52752644
2026-04-25,14:00,34,Premier League,Fulham,Aston Villa,Away Win,0.27507553,0.24244846,0.482476
2026-04-25,14:00,34,Premier League,Liverpool,Crystal Palace,Home Win,0.53829724,0.23592733,0.22577545
2026-04-25,14:00,34,Premier League,Manchester Utd,Brentford,Home Win,0.5074677,0.24168003,0.25085232
2026-04-25,14:00,34,Premier League,West Ham,Everton,Away Win,0.28585982,0.24449028,0.46964994
2026-04-25,14:00,34,Premier League,Wolves,Tottenham,Away Win,0.35049883,0.2511894,0.39831182
