Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
F1,15/08/2025,19:45,Rennes,Marseille,1,0,H,0,0,D,12,24,5,2,8,11,1,12,2,3,1,0,3.5,3.6,2.05,3.4,3.5,2.1,3.45,3.55,1.94,3.5,3.5,2.05,3.4,3.5,2.05,3.4,3.5,2.05,3.4,3.5,2.05,3.64,3.58,2.11,3.55,3.6,2.1,3.46,3.52,2.04,3.8,3.65,2.12,1.88,1.98,1.91,2,1.88,2.05,1.79,1.97,1.89,2.08,0.5,1.8,2.05,1.82,2.11,1.81,2.07,1.77,2,1.87,2.14,3.9,3.6,1.91,3.75,3.6,1.95,3.7,3.45,1.9,3.8,3.7,1.9,3.8,3.6,1.95,3.8,3.6,1.95,3.75,3.6,1.95,3.99,3.69,1.97,3.9,3.75,1.97,3.8,3.58,1.93,4.1,3.8,2.02,1.8,2,1.88,2.03,1.81,2.08,1.76,2.01,1.84,2.14,0.5,1.95,1.9,1.94,1.98,1.95,1.97,1.86,1.89,1.97,2.02
F1,16/08/2025,16:00,Lens,Lyon,0,1,A,0,1,A,18,11,5,3,13,20,13,8,2,3,0,0,2.3,3.6,2.9,2.3,3.5,3,2.28,3.5,2.75,2.25,3.5,2.8,2.25,3.6,2.95,2.3,3.6,2.9,2.25,3.6,2.9,2.35,3.63,3.02,2.33,3.6,3,2.29,3.56,2.87,2.38,3.75,3.05,1.67,2.2,1.68,2.27,1.7,2.2,1.66,2.14,1.73,2.28,-0.25,2,1.85,2.04,1.87,2,1.85,1.92,1.77,2.07,1.88,2.5,3.4,2.75,2.4,3.5,2.8,2.35,3.4,2.7,2.45,3.5,2.75,2.45,3.5,2.7,2.45,3.5,2.75,2.45,3.5,2.7,2.41,3.61,2.98,2.54,3.6,2.9,2.43,3.47,2.75,2.6,3.55,2.98,1.73,2.1,1.72,2.23,1.75,2.2,1.71,2.08,1.79,2.22,0,1.8,2.05,1.76,2.18,1.82,2.1,1.77,2.02,1.86,2.15
F1,16/08/2025,18:00,Monaco,Le Havre,3,1,H,1,0,H,13,9,3,4,5,14,5,4,0,1,0,0,1.33,5.25,8,1.33,5.5,8.5,1.3,5.2,8,1.3,5,8.5,1.36,5.25,7.75,1.36,5.25,7.5,1.36,5.25,7.5,1.34,5.61,8.59,1.36,5.5,8.5,1.33,5.23,8.08,1.37,5.9,9.6,1.53,2.5,1.55,2.55,1.55,2.5,1.51,2.44,1.58,2.58,-1.5,1.95,1.9,1.98,1.93,1.95,1.9,1.92,1.84,2.02,1.94,1.22,7,11,1.22,6.5,13,1.18,6.4,11.5,1.18,7,13,1.22,6.5,12.5,1.22,6.5,12,1.22,6.5,12,1.24,6.79,12.26,1.23,7,13,1.21,6.63,11.97,1.25,7.4,14,1.4,3,1.45,2.81,1.44,3,1.4,2.84,1.44,3.15,-2,2,1.85,2.1,1.79,2.05,1.85,1.96,1.77,2.07,1.88
F1,16/08/2025,20:05,Nice,Toulouse,0,1,A,0,0,D,13,10,2,2,12,13,9,4,2,3,0,0,2.1,3.3,3.6,2.1,3.4,3.5,2,3.3,3.5,2.05,3.3,3.3,2.15,3.4,3.3,2.15,3.4,3.3,2.15,3.4,3.3,2.12,3.45,3.69,2.15,3.4,3.66,2.08,3.34,3.47,2.22,3.45,3.75,2,1.85,2.03,1.87,2.1,1.85,1.98,1.78,2.08,1.87,-0.25,1.8,2.05,1.83,2.09,1.8,2.05,1.71,1.98,1.89,2.07,1.91,3.4,4.1,2,3.4,3.75,1.93,3.25,3.8,1.95,3.5,3.8,1.98,3.4,3.9,1.95,3.4,3.9,1.95,3.4,3.9,2.15,3.36,3.77,2,3.5,4.2,1.95,3.39,3.9,2.06,3.55,4.2,2,1.85,2.06,1.85,2.06,1.85,1.97,1.79,2.04,1.92,-0.5,1.98,1.88,2.14,1.78,1.98,1.93,1.93,1.83,2.06,1.92
F1,17/08/2025,14:00,Brest,Lille,3,3,D,1,2,A,18,10,5,6,11,13,2,2,2,1,0,0,3.3,3.4,2.2,3.3,3.4,2.2,3.2,3.3,2.12,3.13,3.4,2.1,3.2,3.5,2.15,3.2,3.5,2.15,3.2,3.5,2.15,3.36,3.48,2.23,3.33,3.5,2.2,3.22,3.41,2.16,3.45,3.55,2.3,1.9,1.95,1.93,1.95,1.94,1.95,1.87,1.87,1.94,1.99,0.25,1.93,1.93,1.97,1.93,1.93,1.93,1.89,1.77,1.99,1.97,2.45,3.2,3,2.4,3.2,3,2.5,3.15,2.7,2.5,3.1,3,2.45,3.25,2.9,2.45,3.25,2.9,2.45,3.25,2.9,2.71,3.23,2.87,2.55,3.3,3.13,2.46,3.18,2.93,2.62,3.3,3.1,2.05,1.8,2.15,1.76,2.1,1.8,2.03,1.74,2.22,1.8,-0.25,2.1,1.78,2.29,1.68,2.12,1.78,2.02,1.7,2.22,1.79
F1,17/08/2025,16:15,Angers,Paris FC,1,0,H,1,0,H,8,17,2,7,14,10,3,7,2,1,1,0,2.63,3.2,2.8,2.63,3.1,2.8,2.63,3,2.7,2.55,3.1,2.63,2.6,3.2,2.75,2.6,3.2,2.75,2.6,3.2,2.75,2.75,3.17,2.83,2.71,3.2,2.8,2.62,3.12,2.74,2.74,3.25,2.92,2.2,1.67,2.27,1.68,2.23,1.67,2.16,1.65,2.28,1.73,0,1.88,1.98,1.93,1.98,1.88,1.98,1.84,1.93,1.91,2.03,3.1,3.25,2.35,3,3.25,2.4,2.95,3.25,2.28,3.1,3.13,2.38,3,3.3,2.35,3,3.3,2.37,3,3.25,2.37,3.24,3.46,2.33,3.13,3.4,2.4,3.04,3.27,2.35,3.25,3.4,2.48,2,1.85,1.93,1.98,2,1.87,1.94,1.81,2.1,1.9,0.25,1.83,2.03,1.92,2.01,1.83,2.05,1.78,1.88,1.88,2.12
F1,17/08/2025,16:15,Auxerre,Lorient,1,0,H,0,0,D,7,14,3,3,18,14,4,5,3,2,0,0,2.38,3.3,3,2.38,3.3,3,2.23,3.3,2.95,2.3,3.3,2.88,2.35,3.4,2.9,2.37,3.5,2.9,2.3,3.4,2.9,2.4,3.46,3.06,2.4,3.5,3.05,2.32,3.35,2.96,2.4,3.5,3.15,1.9,1.95,1.91,1.98,1.95,1.95,1.9,1.85,1.96,1.98,-0.25,2.05,1.8,2.07,1.85,2.05,1.8,1.91,1.77,2.07,1.87,2.55,3.2,2.88,2.5,3.2,2.88,2.4,3.2,2.85,2.55,3.1,2.9,2.5,3.2,2.85,2.5,3.25,2.8,2.5,3.25,2.8,2.47,3.29,3.14,2.55,3.25,3,2.49,3.18,2.88,2.66,3.3,3.1,2.1,1.73,2.1,1.81,2.16,1.83,2.04,1.74,2.16,1.83,0,1.8,2.05,1.74,2.22,1.81,2.1,1.76,2.03,1.85,2.14
F1,17/08/2025,16:15,Metz,Strasbourg,0,1,A,0,0,D,2,9,0,4,16,13,3,3,2,2,0,0,3.2,3.4,2.25,3.1,3.4,2.3,2.9,3.4,2.23,3,3.3,2.2,2.95,3.4,2.3,3,3.4,2.3,3,3.4,2.3,3.23,3.48,2.29,3.2,3.45,2.3,3.03,3.38,2.26,3.3,3.5,2.36,1.88,1.98,1.92,1.97,1.91,1.98,1.86,1.89,1.94,1.99,0.25,1.88,1.98,1.93,1.98,1.88,1.98,1.81,1.85,1.94,2.02,3.75,3.5,2,3.6,3.5,2.05,3.45,3.45,1.96,3.6,3.5,2,3.6,3.4,2.05,3.6,3.4,2.05,3.5,3.4,2.05,3.52,3.53,2.17,4,3.6,2.05,3.62,3.47,2.01,3.95,3.6,2.1,1.88,1.98,1.91,2,1.91,1.98,1.86,1.9,1.97,2.02,0.5,1.83,2.03,1.78,2.17,1.9,2.03,1.79,1.97,1.89,2.1
F1,17/08/2025,19:45,Nantes,Paris SG,0,1,A,0,0,D,6,18,0,4,6,6,2,7,1,1,0,0,7.5,5.5,1.36,8.5,5.5,1.33,8.5,5.5,1.27,8,5,1.3,7.75,5.75,1.34,8,5.5,1.33,7.5,5.5,1.33,8.26,5.72,1.35,8.5,5.75,1.36,7.97,5.43,1.32,9,6,1.35,1.44,2.75,1.48,2.73,1.45,2.75,1.44,2.66,1.5,2.82,1.5,1.88,1.98,1.93,1.97,1.96,1.98,1.88,1.87,1.93,1.96,13,7,1.2,12,6,1.25,11.5,6.5,1.18,12,7.5,1.18,13,6.75,1.21,13,6.5,1.22,13,6.5,1.2,11.14,6.54,1.26,14,7.5,1.25,12.38,6.71,1.21,15,7.8,1.24,1.44,2.75,1.51,2.64,1.5,2.95,1.42,2.74,1.51,2.94,2,1.8,2.05,1.69,2.26,1.86,2.05,1.78,1.95,1.9,2.06
F1,22/08/2025,19:45,Paris SG,Angers,1,0,H,0,0,D,21,3,4,0,3,9,12,0,0,0,0,0,1.08,12,21,1.08,11,29,1.05,10.5,25,1.07,11.5,26,1.1,11.5,26,1.09,11,23,1.09,11,23,1.09,12.5,27,1.1,12,31,1.08,11.06,24.94,1.1,15,34,1.25,4,,,1.26,4,1.24,3.77,1.28,4.2,-2.75,1.93,1.93,1.95,1.93,1.95,1.93,1.87,1.84,1.96,1.98,1.06,13,23,1.07,12,34,1.04,11,25,1.06,13,29,1.08,12.5,31,1.08,13,29,1.07,12,29,1.09,12.48,27.07,1.08,13,41,1.06,11.97,29.25,1.09,16.5,40,1.25,4,,,1.27,4,1.24,3.8,1.3,4.2,-2.75,1.75,2.05,1.93,1.95,1.86,2.08,1.8,1.96,1.87,2.11
